,Lat,Lng
106,32.2208827,-110.8807176
107,33.6378062,-111.9980544
108,34.7366975,-112.0308698
109,35.1867532,-111.664023
110,35.2070921,-114.0336089
111,34.4782242,-114.3386089
112,33.6416429,-112.063752
113,32.236872,-110.8560498
114,31.5551783,-110.244919
115,33.4798471,-112.0559949
116,33.5107698,-112.0555548
117,32.2861648,-110.9722254
118,34.2494153,-111.3233011
119,32.2607269,-110.9423742
120,32.2632223,-110.8938031
121,31.3615383,-110.9491268
122,32.3343283,-110.9765099
123,33.5467777,-112.0436315
124,34.5969608,-112.4652575
125,32.2850616,-110.9335726
126,35.1127951,-114.5707127
127,34.5883407,-112.3260931
128,33.6251426,-111.9949132
129,36.923992,-111.4587497
130,31.4175897,-109.8827933
131,33.6469382,-112.2295997
132,33.675526,-112.1108855
133,32.7027484,-114.6078305
134,33.4102442,-111.9679514
135,33.48721380000001,-112.0447261
136,33.5067834,-112.0644511
137,33.5398025,-112.0482425
138,32.2607269,-110.9423742
139,33.3925823,-111.8872739
140,32.2461627,-110.857108
141,33.5168392,-112.0477767
142,34.7376398,-92.4039038
143,36.0525779,-90.4985298
144,34.4670794,-93.0760916
145,33.6179126,-91.3931856
146,35.3682317,-94.38494209999999
147,35.4397721,-94.3298792
148,35.3494394,-94.35618529999999
149,36.2852478,-92.5148849
150,36.1586271,-94.1183169
151,33.2133833,-92.6694662
152,36.3707476,-91.82385289999999
153,33.5738359,-92.83568199999999
154,34.7532639,-92.36731019999999
155,34.7474042,-92.3960243
156,34.222114,-91.99652619999999
157,36.3821949,-90.1884784
158,35.2855943,-93.1483832
159,35.823967,-90.67151799999999
160,35.3870703,-94.425607
161,35.2527152,-91.6951954
162,35.3615395,-94.373761
163,34.6185591,-92.49624340000001
164,35.8097187,-90.67230149999999
165,36.1258466,-92.12859069999999
166,35.2425791,-90.7827427
167,35.6095354,-91.25707799999999
168,34.0366251,-94.3406274
169,35.2516811,-91.7083475
170,34.7507912,-92.36431879999999
171,35.7689837,-91.628291
172,33.27511,-93.240411
173,33.6107603,-91.8170545
174,35.0886523,-92.45529739999999
175,36.2412053,-93.1015005
176,35.2666422,-91.1986324
177,34.7132868,-92.4071634
178,34.2015531,-92.03127959999999
179,35.0539963,-93.38855500000001
180,35.4921787,-92.0481975
181,35.1509173,-92.74405379999999
182,36.1008117,-94.1644141
183,33.3064148,-91.2903886
184,34.4528449,-93.0741666
185,35.8739208,-92.102401
186,33.1337602,-91.96031289999999
187,34.5102191,-90.6271793
188,33.4627227,-94.0288013
189,36.3712867,-91.8225983
190,35.9332591,-89.9089319
191,34.873582,-92.124839
192,35.76912,-91.63110929999999
193,35.1437928,-90.18795270000001
194,35.5832861,-92.45007609999999
195,35.0492014,-90.79704690000001
