"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US06001","Alameda County, California","1656754","*****"
"0500000US06003","Alpine County, California","1039","161"
"0500000US06005","Amador County, California","38429","*****"
"0500000US06007","Butte County, California","225817","*****"
"0500000US06009","Calaveras County, California","45514","*****"
"0500000US06011","Colusa County, California","21454","*****"
"0500000US06013","Contra Costa County, California","1142251","*****"
"0500000US06015","Del Norte County, California","27495","*****"
"0500000US06017","El Dorado County, California","188563","*****"
"0500000US06019","Fresno County, California","984521","*****"
"0500000US06021","Glenn County, California","27976","*****"
"0500000US06023","Humboldt County, California","135940","*****"
"0500000US06025","Imperial County, California","180701","*****"
"0500000US06027","Inyo County, California","17977","*****"
"0500000US06029","Kern County, California","887641","*****"
"0500000US06031","Kings County, California","150691","*****"
"0500000US06033","Lake County, California","64195","*****"
"0500000US06035","Lassen County, California","30818","*****"
"0500000US06037","Los Angeles County, California","10081570","*****"
"0500000US06039","Madera County, California","155433","*****"
"0500000US06041","Marin County, California","259943","*****"
"0500000US06043","Mariposa County, California","17420","*****"
"0500000US06045","Mendocino County, California","87224","*****"
"0500000US06047","Merced County, California","271382","*****"
"0500000US06049","Modoc County, California","8907","*****"
"0500000US06051","Mono County, California","14310","*****"
"0500000US06053","Monterey County, California","433410","*****"
"0500000US06055","Napa County, California","139623","*****"
"0500000US06057","Nevada County, California","99244","*****"
"0500000US06059","Orange County, California","3168044","*****"
"0500000US06061","Placer County, California","385512","*****"
"0500000US06063","Plumas County, California","18660","*****"
"0500000US06065","Riverside County, California","2411439","*****"
"0500000US06067","Sacramento County, California","1524553","*****"
"0500000US06069","San Benito County, California","60376","*****"
"0500000US06071","San Bernardino County, California","2149031","*****"
"0500000US06073","San Diego County, California","3316073","*****"
"0500000US06075","San Francisco County, California","874961","*****"
"0500000US06077","San Joaquin County, California","742603","*****"
"0500000US06079","San Luis Obispo County, California","282165","*****"
"0500000US06081","San Mateo County, California","767423","*****"
"0500000US06083","Santa Barbara County, California","444829","*****"
"0500000US06085","Santa Clara County, California","1927470","*****"
"0500000US06087","Santa Cruz County, California","273962","*****"
"0500000US06089","Shasta County, California","179212","*****"
"0500000US06091","Sierra County, California","3040","161"
"0500000US06093","Siskiyou County, California","43468","*****"
"0500000US06095","Solano County, California","441829","*****"
"0500000US06097","Sonoma County, California","499772","*****"
"0500000US06099","Stanislaus County, California","543194","*****"
"0500000US06101","Sutter County, California","96109","*****"
"0500000US06103","Tehama County, California","63912","*****"
"0500000US06105","Trinity County, California","12700","*****"
"0500000US06107","Tulare County, California","461898","*****"
"0500000US06109","Tuolumne County, California","54045","*****"
"0500000US06111","Ventura County, California","847263","*****"
"0500000US06113","Yolo County, California","217352","*****"
"0500000US06115","Yuba County, California","76360","*****"
"0500000US08001","Adams County, Colorado","504108","*****"
"0500000US08003","Alamosa County, Colorado","16107","*****"
"0500000US08005","Arapahoe County, Colorado","644560","*****"
"0500000US08007","Archuleta County, Colorado","13253","*****"
"0500000US08009","Baca County, Colorado","3561","*****"
"0500000US08011","Bent County, Colorado","5787","*****"
"0500000US08013","Boulder County, Colorado","322510","*****"
"0500000US08014","Broomfield County, Colorado","67886","*****"
"0500000US08015","Chaffee County, Colorado","19557","*****"
"0500000US08017","Cheyenne County, Colorado","2026","186"
"0500000US08019","Clear Creek County, Colorado","9495","*****"
"0500000US08021","Conejos County, Colorado","8128","*****"
"0500000US08023","Costilla County, Colorado","3745","*****"
"0500000US08025","Crowley County, Colorado","5754","*****"
"0500000US08027","Custer County, Colorado","4776","*****"
"0500000US08029","Delta County, Colorado","30565","*****"
"0500000US08031","Denver County, Colorado","705576","*****"
"0500000US08033","Dolores County, Colorado","1857","186"
"0500000US08035","Douglas County, Colorado","336041","*****"
"0500000US08037","Eagle County, Colorado","54681","*****"
"0500000US08039","Elbert County, Colorado","25717","*****"
"0500000US08041","El Paso County, Colorado","698974","*****"
"0500000US08043","Fremont County, Colorado","47321","*****"
"0500000US08045","Garfield County, Colorado","59055","*****"
"0500000US08047","Gilpin County, Colorado","6018","*****"
"0500000US08049","Grand County, Colorado","15303","*****"
"0500000US08051","Gunnison County, Colorado","16802","*****"
"0500000US08053","Hinsdale County, Colorado","857","111"
"0500000US08055","Huerfano County, Colorado","6679","*****"
"0500000US08057","Jackson County, Colorado","1261","128"
"0500000US08059","Jefferson County, Colorado","574798","*****"
"0500000US08061","Kiowa County, Colorado","1489","128"
"0500000US08063","Kit Carson County, Colorado","7447","*****"
"0500000US08065","Lake County, Colorado","7751","*****"
"0500000US08067","La Plata County, Colorado","55617","*****"
"0500000US08069","Larimer County, Colorado","344786","*****"
"0500000US08071","Las Animas County, Colorado","14266","*****"
"0500000US08073","Lincoln County, Colorado","5585","*****"
"0500000US08075","Logan County, Colorado","22380","*****"
"0500000US08077","Mesa County, Colorado","151218","*****"
"0500000US08079","Mineral County, Colorado","824","112"
"0500000US08081","Moffat County, Colorado","13127","*****"
"0500000US08083","Montezuma County, Colorado","26031","*****"
"0500000US08085","Montrose County, Colorado","41686","*****"
"0500000US08087","Morgan County, Colorado","28517","*****"
"0500000US08089","Otero County, Colorado","18282","*****"
"0500000US08091","Ouray County, Colorado","4796","*****"
"0500000US08093","Park County, Colorado","17867","*****"
"0500000US08095","Phillips County, Colorado","4290","*****"
"0500000US08097","Pitkin County, Colorado","17926","*****"
"0500000US08099","Prowers County, Colorado","12022","*****"
"0500000US08101","Pueblo County, Colorado","165982","*****"
"0500000US08103","Rio Blanco County, Colorado","6384","*****"
"0500000US08105","Rio Grande County, Colorado","11305","*****"
"0500000US08107","Routt County, Colorado","25072","*****"
"0500000US08109","Saguache County, Colorado","6592","*****"
"0500000US08111","San Juan County, Colorado","589","102"
"0500000US08113","San Miguel County, Colorado","8049","*****"
"0500000US08115","Sedgwick County, Colorado","2322","*****"
"0500000US08117","Summit County, Colorado","30649","*****"
"0500000US08119","Teller County, Colorado","24524","*****"
