,Lat,Lng,Income
85,64.8329974,-164.256602,61048.0
86,69.05787579999999,-152.8628274,79306.0
87,67.2872981,-160.0342624,60906.0
88,56.8124267,-132.9554472,69948.0
89,55.3242244,-132.6044581,52379.0
90,57.0530556,-135.33,73682.0
91,59.45540250000001,-135.315279,73906.0
92,63.9603869,-143.6296999,70056.0
93,61.4787707,-144.1147195,79867.0
94,56.4708333,-132.3766666,53894.0
95,59.5469878,-139.7272808,71607.0
96,65.8443666,-153.4302993,41413.0
97,35.5313224,-109.3783206,32508.0
98,31.82845799999999,-109.949686,49260.0
99,35.6647545,-111.4752851,59460.0
100,33.6370567,-110.5215459,43524.0
101,33.076805,-109.7591675,51353.0
102,33.2405598,-109.2831531,63473.0
103,34.0061091,-113.9536466,34643.0
104,33.2917968,-112.4291464,64468.0
105,35.2143346,-113.7632828,45587.0
106,35.4019765,-110.1402594,40067.0
107,32.057499,-111.6660725,53379.0
108,32.8162061,-111.2845025,58174.0
109,31.5986127,-110.8076084,41259.0
110,34.6463981,-112.4291464,52451.0
111,32.6527533,-113.9536466,45243.0
112,34.2354138,-91.28910359999999,46696.0
113,33.1565939,-91.7538817,44744.0
114,36.3261815,-92.38136209999999,42260.0
115,36.2661518,-94.479976,66362.0
116,36.3118662,-93.0175712,45374.0
117,33.5081368,-92.2236667,43184.0
118,33.5020885,-92.539603,46417.0
119,36.2987495,-93.5003454,46110.0
120,33.3419551,-91.28910359999999,34147.0
121,34.0232374,-93.17796589999999,41620.0
122,36.3492244,-90.37483540000001,37233.0
123,35.4605769,-92.0665197,44483.0
124,33.86580070000001,-92.2236667,46684.0
125,33.1285176,-93.17796589999999,36193.0
126,35.2727492,-92.6983868,42802.0
127,35.8260959,-90.6773046,47286.0
128,35.5762761,-94.315422,46828.0
129,35.3021443,-90.37483540000001,40161.0
130,35.2998913,-90.8294002,46787.0
131,34.0346533,-92.6983868,38072.0
132,33.8773585,-91.44346900000001,31893.0
133,33.5156463,-91.7538817,46997.0
134,35.1035858,-92.38136209999999,52827.0
135,35.5927966,-93.8248241,38923.0
136,36.3797374,-91.7928402,35405.0
137,34.5559285,-93.17796589999999,44777.0
138,34.2628015,-92.4208713,55388.0
139,36.1314931,-90.563609,47056.0
140,33.6530112,-93.66232389999999,42860.0
141,34.3393795,-92.97755579999999,43889.0
142,34.1318213,-94.028678,36059.0
143,35.8174139,-91.5983959,44319.0
144,36.1610924,-91.9099238,42876.0
145,35.6479574,-91.13530200000001,34109.0
146,34.227351,-91.9099238,40726.0
147,35.6026275,-93.5003454,38511.0
148,33.2511695,-93.62178019999999,32397.0
149,35.9969735,-91.13530200000001,39993.0
150,34.7712669,-90.8294002,29681.0
151,33.9185116,-91.714958,46596.0
152,33.6808926,-94.19234000000002,45113.0
153,35.2475011,-93.66232389999999,41466.0
154,34.7591647,-91.9099238,59094.0
155,35.9466415,-93.66232389999999,41682.0
156,36.3194702,-92.6983868,36719.0
157,33.3335556,-93.86553029999999,43371.0
158,35.8279728,-90.0746767,39962.0
159,34.5918747,-91.13530200000001,38468.0
160,34.5424074,-93.66232389999999,35741.0
161,33.6621386,-93.33889169999999,38042.0
162,35.9603994,-93.17796589999999,38082.0
163,33.5828512,-92.9375739,35425.0
164,34.96032,-92.8976254,48667.0
165,34.4611206,-90.86751339999999,29320.0
166,34.1876975,-93.66232389999999,40401.0
167,35.6078586,-90.6393702,40921.0
168,34.5268097,-94.15137639999999,37974.0
169,35.440627,-93.0175712,43462.0
170,34.7636336,-91.5983959,42660.0
171,34.75386150000001,-92.2236667,51749.0
172,36.3457918,-90.9820668,37218.0
173,34.9926533,-90.7152749,35348.0
174,34.5708215,-92.539603,64412.0
175,34.8854732,-93.9878427,36092.0
176,35.9721,-92.6983868,36438.0
177,35.2260397,-94.315422,46228.0
178,34.0346222,-94.27436279999999,47704.0
179,36.16759740000001,-91.44346900000001,34671.0
180,35.8075142,-92.2236667,38188.0
181,33.1431092,-92.539603,44663.0
182,35.6266232,-92.539603,38499.0
183,35.9307703,-94.15137639999999,50451.0
184,35.2900612,-91.7538817,44029.0
185,35.1215846,-91.13530200000001,32845.0
186,35.0810824,-93.33889169999999,43923.0
187,37.6016892,-121.7195459,99406.0
188,38.5940736,-119.8815203,63750.0
189,38.3488921,-120.7740931,62772.0
190,39.6253952,-121.5370003,52537.0
191,38.1960477,-120.6805037,63158.0
192,39.1040645,-122.2653887,59401.0
193,37.8534093,-121.9017954,99716.0
194,41.7076287,-123.9659708,45283.0
195,38.74263759999999,-120.4357631,83377.0
196,36.9858984,-119.2320784,53969.0
197,39.6437813,-122.4467238,49633.0
198,40.7450055,-123.8695086,48041.0
199,33.0113694,-115.4733554,47622.0
200,36.3091865,-117.5495846,57316.0
201,35.4937274,-118.8596804,53350.0
202,36.0988489,-119.8815203,57848.0
203,39.08396440000001,-122.8084496,47040.0
204,40.5394389,-120.7120023,56352.0
205,34.0522265,-118.2436596,68044.0
206,37.251926,-119.6962677,57585.0
207,38.083403,-122.7633036,115246.0
208,37.4893626,-119.9679294,48820.0
209,39.5500194,-123.438353,51416.0
210,37.2009788,-120.7120023,53672.0
211,41.4565165,-120.629366,45507.0
212,37.9218608,-118.9528645,62260.0
213,36.3136201,-121.3541631,71015.0
214,38.5024689,-122.2653887,88596.0
215,39.1346666,-121.1710389,66096.0
